Quarter,Dept,Business area or arms length body,Contract Title and description,Supplier,KPI name and description,Good target,Rating,Can this KPI be published,Comments
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT COMMERCIAL FUNCTION (GCF - incl Grants),Digital Drawdown CDP Delivery Partner,ERNST & YOUNG LLP,Commencement of the provision of the Services under Statements of Work within 20 working days from the date which the SoW was executed.,6,Approaching Target,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,COVID-19 INQUIRY,Evidence Management/eDiscovery system,EPIQ SYSTEMS LTD,"The System (and documents) should be permanently accessible (24 hours, 7 days per week, 365 days per year) by the Inquiry team over the course of the contract. The exception to this is for planned downtime.",100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT PEOPLE GROUP,Civil Service Central Apprenticeship Contract Lot 3 HR,BABINGTON BUSINESS COLLEGE LTD,Supplier must ensure to provide central contract MI Data by 5 Working Days with 100% accuracy.,95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT PEOPLE GROUP,Operational Surge Contract,CONEXIA LIMITED,Achievement of all key MI/reporting tasks as stated @ section 8.,95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT COMMERCIAL FUNCTION (GCF - incl Grants),Digital Drawdown CDP Delivery Partner,ERNST & YOUNG LLP,Number of SoW completed on time and to the relevant standard issued under the Contract,6,Approaching Target,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT PEOPLE GROUP,Provision of Level 4 Project Delivery Apprenticeship Training & Related Services,QA LIMITED,Supplier must ensure to provide central contract MI Data by 5 Working Days with 100% accuracy.,95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,COVID-19 INQUIRY,Audio Visual Services for the UK Covid-19 Inquiry,RTS COMMUNICATIONS LIMITED,Videos of public hearings to be published within one calendar day of approval from lead solicitor,98%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT COMMERCIAL FUNCTION (GCF - incl Grants),Provision of Support for Central Digital Platform,Goaco Group Ltd,Supplier to provide positive customer service interactions for all users. Measured by a quarterly customer Satisfaction survey,80%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,COVID-19 INQUIRY,Audio Visual Services for the UK Covid-19 Inquiry,RTS COMMUNICATIONS LIMITED,"Supplier to provide the Inquiry solicitor with a redacted transcript for review and publication, ready for publication, within 4 hours of the hearing day concluding (publication of transcript dependent on solicitor approval)",100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,CO DIGITAL,Provision of a Digital Strategic Delivery Partner for Cabinet Office Digital,CGI IT UK LIMITED,The Supplier shall (a) pay any undisputed sums which are due from it to a Sub contractor within thirty (30) days of verifying that the invoice is valid and undisputed.,100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,CO DIGITAL,Applicant Tracking System (ATS),OLEEO PLC,Candidate support,95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,PUBLIC SECTOR FRAUD AUTHORITY,National Fraud Initiative- Replacement,SYNECTICS SOLUTIONS LIMITED,Application Data Matching (AppCheck) Data is Matched and Available as per Agreed Response Time.,98%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,CO COMMERCIAL,Corporate Provision of Contingent Labour and related services,ALEXANDER MANN SOLUTIONS LTD,The percentage of requisitions that are filled in the Service Level measurement period.,85%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,COVID-19 INQUIRY,Provision of Solicitors for the UK COVID-19 Inquiry,BURGES SALMON LLP,The Inquiry Secretariat is to be notified of any issues* with working relationships between Inquiry Secretariat and Supplier teams within 12 working days.,95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,COVID-19 INQUIRY,Provision of Solicitors for the UK COVID-19 Inquiry,BURGES SALMON LLP,The Inquiry Secretariat must be notified of any complaints received by or about the Supplier within 5 working days of receipt of the complaint.,100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT PEOPLE GROUP,Pension Administration Services Agreement (Royal Mail Statutory Pension Scheme),CAPITA BUSINESS SERVICES LTD,Retirement Settlement (Early and Normal) within the contracted timeframes (Single Members & Deferred Dual Members),99%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,CO DIGITAL,Applicant Tracking System (ATS),OLEEO PLC,Client helpdesk and support,95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,CO DIGITAL,Provision of a Digital Strategic Delivery Partner for Cabinet Office Digital,CGI IT UK LIMITED,"The total percentage of apprentices/trainees within the workforce as a whole, engaged in all Statements of Works under the Contract",3%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT PEOPLE GROUP,Operational Surge Contract,CONEXIA LIMITED,"All materials / work produced must be free of spelling error, colour bleeding & be of high quality",99%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT COMMERCIAL FUNCTION (GCF - incl Grants),Digital Drawdown CDP Delivery Partner,ERNST & YOUNG LLP,The duration between the Buyer issuing the Supplier with a Project Brief and the Supplier providing the relevant information to fully populate the SoW  Form within 10 working  days following issuance of the draft SoW Form to the Supplier by the Buyer.,6,Approaching Target,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,HMT Public Spending,OSCAR II Application Development and Data Services (ADDS),LITTLE FISH (UK) LIMITED,% of P1 Incidents Resolved,98%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,COVID-19 INQUIRY,Provision of Solicitors for the UK COVID-19 Inquiry,BURGES SALMON LLP,"The Supplier to minimise the environmental impact of the work undertaken, including working in soft copy where possible, and choosing travel by rail where this is the most time efficient method of transport.",75%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT PEOPLE GROUP,Civil Service Central Apprenticeship Contract Lot 1 Operational Delivery,REALISE LEARNING AND EMPLOYMENT LIMITED,Supplier must ensure the results of assignments provided within 4 weeks of submission date.,95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,CO COMMERCIAL,GBNI - Provision of Public Sector Air Capability (NEWMAT PM-R),CORPORATE TRAVEL MANAGEMENT (NORTH) LTD,Customer satisfaction with response times and resolution of enquiries,95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,COVID-19 INQUIRY,Evidence Management/eDiscovery system,EPIQ SYSTEMS LTD,"Email requests for action or information that are labelled ?URGENT?, sent within working hours from the Authority to the Supplier should be provided with a response within 15 minutes of the email being sent.",95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT PEOPLE GROUP,"Apprenticeships - Provision of Finance, Project management,",BABINGTON BUSINESS COLLEGE LTD,Suppliers must ensure Apprentices are enrolled and their records must be visible on the Authority Service Recipients (employers) Digital Apprenticeship Service (DAS) account within 2 weeks of confirmed eligibility,100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,STRATEGY FINANCE AND PERFORMANCE,ISSC2 Shared Services - call off order form,SHARED SERVICES CONNECTED LTD,"Payroll Accuracy % - Number of Rectifications to total payroll required each month as a result of actions or errors made by SSCL: Requiring Advances, and corrective actions",50,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT PEOPLE GROUP,Civil Service Central Apprenticeship Contract Lot 8 Digital,QA LIMITED,Suppliers must ensure Apprentices are enrolled and their records must be visible on the Authority Service Recipients (employers) Digital Apprenticeship Service (DAS) account within 2 weeks of confirmed eligibility.,95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,COVID-19 INQUIRY,COVID19 ESM Research Procurement,IPSOS MORI LTD,The Supplier must gather representative evidence in line with the key lines of enquiry shared at the beginning of each module.,90%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT PEOPLE GROUP,Pension Administration Services Agreement (Royal Mail Statutory Pension Scheme),CAPITA BUSINESS SERVICES LTD,Completing all pension payroll on the due date,99%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,HMT Corporate Centre Group,CON137 TrIS Service Integration and Management,WIPRO HOLDINGS (UK) LIMITED,The SIAM Supplier shall validate all  (100%) new or updated risks raised in  the central risk register within 3  business days of creation/update.,100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT PEOPLE GROUP,"Centralised CS L&D: Bespoke, Coaching & Subject Matter Experts [LF1.0 Lot6]",ERNST & YOUNG LLP,"Resolution of enquiries to Customer's and/or Buyer's satisfaction within 5 working days of receipt, where within their delivery area",90%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT PEOPLE GROUP,Provision of Level 4 Project Delivery Apprenticeship Training & Related Services,QA LIMITED,Supplier must ensure the results of assignments provided within 4 weeks of submission date.,95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,HMT Corporate Centre Group,CON137 TrIS Service Integration and Management,WIPRO HOLDINGS (UK) LIMITED,"100% of Supplier SLAs or KPIs which are in a Red or Amber state for the reporting period to have a documented Performance Improvement Plan or remediation action plan, submitted to the Customer for review and approval.",100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT PEOPLE GROUP,"Centralised CS L&D: Bespoke, Coaching & Subject Matter Experts [LF1.0 Lot6]",ERNST & YOUNG LLP,Cumulative delegate evaluation scores show that course published objectives/outcomes were met.,80%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT - ESTR,GSCIP Graph-Style Database,Altana Technologies UK Ltd,Meetings:    The supplier to attend quarterly and annual review meetings,Meetings recorder by Buyer,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,"Legal services in relation to CPTPP, Canada and Mexico trade negotiations",TLT LLP,Social Value,100%,Other - Consider returned,Yes,"No work was commissioned within this period, whichmeans there is no resultant performance data"
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,Legal Services in relation to the UK - Gulf Cooperation Council Trade Negotiations,TLT LLP,Commission cost estimates revisions not to exceed 10%.,100%,Other - Consider returned,Yes,"No work was commissioned within this period, whichmeans there is no resultant performance data"
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,DBT - Trade Show & Business Events,Bray Leino Ltd,"Quality rating given by Sector Team and Events Team - Quality rating given by authority stakeholders ( Sector Lead and Event Producer).  a) Meeting project plan milestones   b) Project documentation completed within timelines, c) the Client environment at the event was well-designed and fit for purpose, d) Overall, the Agency leads provided an excellent level of service (out of 20)",95% to 100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT - ESTR,GSCIP Graph-Style Database,Altana Technologies UK Ltd,Base Dataset Updates:   Supplier to update the Base Dataset as a minimum on a monthly basis,Base Dataset updated each calendar month,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,FBEIS Business Support Service,UMi Commercial Ltd,percentage of incoming contacts said their query was dealt with satisfactorily.,99% - 100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,Contract for Amazon Web Services to Department for Business and Trade,Amazon Web Services EMEA SARL,"Social Value - Supplier’s performance against the following Social Value themes, in accordance with the Social Value Model as published by the Government Commercial Function. This information is obtained directly from AWS public information relating to social value published online. https://www.aboutamazon.co.uk/impact-hub. Further information is detailed in the contract.",>99.9%,Good,Yes,AWS provide their SLA's publicly for all of their services here :https://health.aws.amazon.com/health/status
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT Comms and Marketing,Media Buying DBT 2022-2025,Manning Gottlieb OMD,Finance - The Agency must invoice right first time with invoice queries resolved within 7 days first time. The monthly invoice reports must be received within 5 days of end of month.,>=85%,Approaching Target,Yes,"Overall, financial management has been broadly on track this quarter. Timelines are generally clear and delivery against agreed deadlines is reliable, with any changes typically communicated in advance and managed collaboratively. While there have been a small number of administrative and invoicing issues during a busy billing period, these have been addressed as they’ve arisen and have not materially impacted delivery."
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,Delivery of Ministerial and Specialist Live Events (Primary Agency),Bray Leino Ltd,Delivery of Event Lessons Learnt and Impact Report - Hold a lessons learned meeting (in person or virtual) with the key project team and produce a report following the meeting. The report is to be received within two weeks of the event.,within 2 weeks,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,Legal Services in relation to the UK - Gulf Cooperation Council Trade Negotiations,TLT LLP,Delivery and Support: 100% of legal advice received within agreed timescales.,100%,Other - Consider returned,Yes,"No work was commissioned within this period, whichmeans there is no resultant performance data"
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,FBEIS Business Support Service,UMi Commercial Ltd,percentage of contacts satisfied with the overall service they received via appointments for more complex queries.,99% - 100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,DBT - Trade Show & Business Events,Bray Leino Ltd,Quarterly Reports - Quarterly two-three-page report to be produced within five (5) working days of the end of each quarter and presented ahead of the Quarterly ReviewMeetings. Report to be a summary of activity in the previous quarter.,100% are on time and accurate,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,Panel and Chair services for Capture Redress Scheme,Dentons UK and Middle East LLP,"The Supplier will provide a response to all communication from the parties within two (2) Working Days in receipt of a query. All incoming communication to the Supplier from the parties (including appellants, appellants’ lawyers, the Buyer and the Buyer’s case advisors should receive a response within two (2) Working Days from receipt, including at a minimum a holding response for non standard requests. (KPI measured monthly)",99-100% of all incoming communication with parties has received a response within two (2) Working Days.,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,Horizon Shortfall Scheme (HSS) Appeal (P&P*),Addleshaw Goddard LLP,Claim Status Report: Claim status report including actions and deadlines are to be sent weekly by the Supplier to the Buyer.,"100% of the reports are provided on time, with up_x0002_to-date status documents and confirmation from the Buyer that that all documentatio n is accurate.",Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,Horizon Shortfall Scheme (HSS) Appeal (P&P*),Addleshaw Goddard LLP,"Social Value: Reporting on the percentage of women in senior leadership roles (Partner level) across the UK. The Supplier commits to increasing the percentage of female partners by 2% over the contract period, from 33.5% (112 partners out of a total of 334) in October 2025.",Share of female partners is equal to or above 35.5%,Approaching Target,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,British Steel Ltd - Full Advisory Management Support Services,Ernst & Young LLP,100% of Deliverables as outlined in Call-Off Schedule 20 – Specification delivered on agreed date. (This excludes items 7 and 14 which the Buyer recognises may be outside the Suppliers ability to deliver against given the reliance on 3rd parties).  ,100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,Provision of Temporary Workers and Associated Services,Hays Specialist Recruitment Limited,"Recruitment process Generalist: The Provider shall identify at least two suitable candidates per Generalist temporary role and submit their CVs to the hiring manager within 5 Working Days of the briefing call with the hiring manager. The suitability of the candidates shall be determined by the Contracting Authority (acting reasonably), having regard to the criteria specified in the assignment details.","0-5 occurrences where the KPI is not met, per Service Period (quarterly).",Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,Contract for Amazon Web Services to Department for Business and Trade,Amazon Web Services EMEA SARL,"AWS FARGATE AND AMAZON ELASTIC CONTAINER SERVICE (MULTI-AZ) - https://aws.amazon.com/ecs/sla/?did=sla_card&trk=sla_card AWS fargate & ECS underpin our new DBT Service hosting and delivery platform (aka DBT Platform). DBT (DDaT) builds critical digital services to meet the governments strategic goals, these services are deployed on and hosted by DBT Platform, securely and at scale. Given fargate & ECS are the main services from AWS which we consume at scale we have chosen them to measure our AWS service/contract performance. The uptime of these technologies are critical to the success of the overall AWS service offering.
",>99.9%,Good,Yes,AWS provide their SLA's publicly for all of their services here :https://health.aws.amazon.com/health/status
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,Legal Services in relation to the UK - Gulf Cooperation Council Trade Negotiations,TLT LLP,Social Value,100%,Other - Consider returned,Yes,"No work was commissioned within this period, whichmeans there is no resultant performance data"
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,DBT - Trade Show & Business Events,Bray Leino Ltd,Social Value: Quarterly Reporting - Quarterly 1-2 page report to be produced within 5 working days of the end of each quarter and presented ahead of the governance meetings focused on contract wide deliverables on Social Value and Sustainability via the Governance Executive Summary. Including: Progress against achieving 50% reduction on operational emissions by 2026 & Net Zero by 2050 as per the Carbon Reduction Plan,100% are on time and accurate,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,Provision of Temporary Workers and Associated Services,Hays Specialist Recruitment Limited,"Customer Service -The Provider and/or sub contractors shall maintain a high-quality service throughout the Term, minimising the number of complaints received from end users regarding the quality of service provided. This will be measured using number of complaints received noting that the Contracting Authority will have final say on upholding any complaint raised.",0-5 complaints,Good,Yes,"KPIs received 0 complaints , this falls under the good target which is calculated to be 100%"
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,Legal Services in relation to the UK - Gulf Cooperation Council Trade Negotiations,TLT LLP,"Quality of Advice: Thoroughness of research, clarity of written work alongside clear and frequent communications methods.  A 100% score indicates that the work successfully meets all specifications set out by the team and fulfils the business need within cost cap.  ",100%,Other - Consider returned,Yes,"No work was commissioned within this period, whichmeans there is no resultant performance data"
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,British Steel Ltd - Full Advisory Management Support Services,Ernst & Young LLP,100% weekly reporting of costs and cost forecasts shared with Contract Manager.,100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,Horizon Conviction Redress Scheme - ADR Facilitators,Dentons UK and Middle East LLP,"If a Panel meeting is required, the Supplier should coordinate the Independent Panel and Chair and submit the summary of the case and any relevant papers to the Independent Panel at least 7 Working Days prior to Independent Panel assessment.  

If no meeting is required, the Supplier should prepare and submit a summary of the case to the Independent Panel within 5 Working Days of the decision that no meeting is required. ","GOOD: For 99%-100% of all cases, turnaround targets have been met.    ",Other - Consider returned,Yes,Nil return – no live cases formally referred to ADR Stage 2 so this KPI has not been measured in this quarter.
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,"Legal services in relation to CPTPP, Canada and Mexico trade negotiations",TLT LLP,"Quality of Advice: Thoroughness of research, clarity of written work alongside clear and frequent communications methods.  A 100% score indicates that the work successfully meets all specifications set out by the team and fulfils the business need within cost cap.  ",100%,Other - Consider returned,Yes,"No work was commissioned within this period, whichmeans there is no resultant performance data"
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,British Steel Ltd - Full Advisory Management Support Services,Ernst & Young LLP,100% of Deliverables as outlined in Call-Off Schedule 20 – Specification delivered to the satisfaction of the Buyer (subject to the Supplier being able to produce deliverables as noted in ‘Delivery’ above).,100%,Good,Yes,
